SETTLEMENTDATE,TEMP,TOTALDEMAND,RRP (price)   
1/21/2002 0:00,22.6,4638.21,20.79
1/21/2002 0:30,22.7,4423.86,18.13
1/21/2002 1:00,23,4330.74,17.83
1/21/2002 1:30,23.8,4250.26167,18.14
1/21/2002 2:00,25.8,4121.55333,16.39
1/21/2002 2:30,26.5,4043.82667,14.65
1/21/2002 3:00,27.8,4009.06333,15.34
1/21/2002 3:30,28.8,3954.485,14.61
1/21/2002 4:00,29.6,3977.96,14.92
1/21/2002 4:30,30.4,4028.59667,16.65
1/21/2002 5:00,29.7,4094.575,17.68
1/21/2002 5:30,29.4,4226.515,20.37
1/21/2002 6:00,30.3,4398.56167,20.52
1/21/2002 6:30,29.4,4693.5,21.33
1/21/2002 7:00,30.2,4994.51,22.38
1/21/2002 7:30,30.3,5371.65,19.93
1/21/2002 8:00,30.6,5631.40667,27.23
1/21/2002 8:30,29.7,5879.66833,38.89
1/21/2002 9:00,30.1,6058.92667,40.37
1/21/2002 9:30,29.6,6077.95167,39.81
1/21/2002 10:00,29.7,6130.53167,40.07
1/21/2002 10:30,28.8,6123.89833,39.91
1/21/2002 11:00,28.5,6162.03,41.05
1/21/2002 11:30,28.3,6141.75167,41.45
1/21/2002 12:00,28.3,6147.17167,42.76
1/21/2002 12:30,28.2,6181.22833,45.46
1/21/2002 13:00,28,6201.94333,43.92
1/21/2002 13:30,27.7,6235.77167,51.05
1/21/2002 14:00,27.4,6205.51,47.26
1/21/2002 14:30,28,6242.585,51.22
1/21/2002 15:00,27.5,6244.36667,47.02
1/21/2002 15:30,27.5,6226.74833,43.71
1/21/2002 16:00,26.9,6180.255,43.16
1/21/2002 16:30,27.2,6145.28833,42.36
1/21/2002 17:00,27.4,6138.76667,41.87
1/21/2002 17:30,27.3,6044.19667,32.13
1/21/2002 18:00,27.3,5972.94833,31.81
1/21/2002 18:30,27.1,5842.22333,25.4
1/21/2002 19:00,26.3,5898.16167,24.5
1/21/2002 19:30,25.7,5972.82167,29.86
1/21/2002 20:00,26.6,5947.36667,27.55
1/21/2002 20:30,25.5,5767.98,22.85
1/21/2002 21:00,24.8,5653.515,19.28
